Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
VKTX,Sell to Open,10/13/2023,43,$15.00,$2.40,$0.20,$4.60,0%,10/25/2023,N,$13.81,17.38%,151.03%,8.62%
WISH,Sell to Open,10/13/2023,43,$9.00,$0.60,$0.02,$1.19,4%,11/02/2023,N,$5.36,11.3%,98.18%,68.07%
BOIL,Sell to Open,10/13/2023,43,$68.00,$6.94,$6.80,$7.10,8%,,N,$62.62,11.1%,96.45%,8.59%
KOLD,Sell to Open,10/13/2023,43,$61.00,$4.90,$4.50,$5.30,13%,,N,$54.29,9.03%,78.44%,12.36%
WMG,Sell to Open,10/20/2023,50,$50.00,$2.65,$0.50,$4.80,0%,11/21/2023,N,$33.30,7.96%,59.28%,50.15%
EBIX,Sell to Open,10/13/2023,43,$26.00,$1.27,$1.15,$1.40,56%,11/09/2023,N,$16.70,7.63%,66.35%,55.69%
AMSC,Sell to Open,10/13/2023,43,$10.00,$0.67,$0.60,$0.75,10%,11/01/2023,N,$9.25,7.3%,63.42%,8.11%
DPST,Sell to Open,10/13/2023,43,$71.50,$4.75,$4.60,$4.90,8%,,N,$66.18,7.18%,62.37%,8.04%
CVNA,Sell to Open,10/13/2023,43,$62.00,$3.22,$3.10,$3.35,0%,11/02/2023,N,$50.35,6.41%,55.66%,23.14%
MDC,Sell to Open,10/20/2023,50,$50.00,$2.95,$1.20,$4.70,12%,10/26/2023,N,$47.45,6.22%,46.31%,5.37%
VNO,Sell to Open,10/20/2023,50,$25.00,$1.35,$1.30,$1.40,15%,10/30/2023,N,$24.02,5.62%,41.87%,4.08%
UVXY,Sell to Open,10/13/2023,43,$20.00,$0.78,$0.68,$0.88,3%,,N,$14.49,5.38%,46.78%,38.03%
IONQ,Sell to Open,10/13/2023,43,$22.00,$0.92,$0.85,$1.00,32%,11/13/2023,N,$17.19,5.38%,46.76%,27.98%
YINN,Sell to Open,10/13/2023,43,$39.00,$1.70,$1.55,$1.85,5%,,N,$32.77,5.19%,45.08%,19.01%
SRPT,Sell to Open,10/13/2023,43,$133.00,$6.10,$4.70,$7.50,13%,11/01/2023,N,$121.01,5.04%,43.81%,9.91%
BBIO,Sell to Open,10/13/2023,43,$34.50,$1.50,$0.30,$2.70,3%,11/02/2023,N,$29.91,5.02%,43.58%,15.35%
AEHR,Sell to Open,10/20/2023,50,$65.00,$2.42,$2.30,$2.55,17%,10/05/2023,Y,$51.01,4.75%,35.41%,27.43%
OKTA,Sell to Open,10/13/2023,43,$85.00,$3.90,$3.80,$4.00,60%,,N,$83.51,4.67%,40.59%,1.78%
CHPT,Sell to Open,10/13/2023,43,$8.50,$0.33,$0.27,$0.39,88%,09/06/2023,Y,$7.16,4.61%,40.05%,18.72%
AFRM,Sell to Open,10/13/2023,43,$24.50,$0.90,$0.86,$0.95,0%,11/07/2023,N,$20.81,4.35%,37.79%,17.73%
STNE,Sell to Open,10/13/2023,43,$13.00,$0.52,$0.45,$0.60,0%,11/16/2023,N,$12.26,4.28%,37.21%,6.04%
VSAT,Sell to Open,10/20/2023,50,$30.00,$1.14,$1.05,$1.25,14%,11/08/2023,N,$27.74,4.15%,30.88%,8.15%
GTLB,Sell to Open,10/13/2023,43,$56.00,$1.90,$1.75,$2.05,36%,09/05/2023,Y,$47.37,4.01%,34.86%,18.22%
HLF,Sell to Open,10/13/2023,43,$16.00,$0.60,$0.50,$0.70,7%,10/31/2023,N,$15.02,3.99%,34.72%,6.52%
RDFN,Sell to Open,10/13/2023,43,$11.00,$0.37,$0.30,$0.45,0%,11/08/2023,N,$9.52,3.94%,34.23%,15.55%
SOXL,Sell to Open,10/13/2023,43,$28.50,$0.92,$0.88,$0.96,3%,,N,$23.86,3.86%,33.51%,19.45%
SOXS,Sell to Open,10/13/2023,43,$12.00,$0.35,$0.30,$0.40,2%,,N,$9.21,3.8%,33.03%,30.29%
HE,Sell to Open,10/13/2023,43,$20.00,$0.52,$0.45,$0.60,53%,11/06/2023,N,$14.02,3.74%,32.54%,42.65%
XLC,Sell to Open,10/13/2023,43,$71.50,$2.52,$0.05,$5.00,5%,,N,$67.73,3.73%,32.4%,5.57%
TSLL,Sell to Open,10/13/2023,43,$20.00,$0.60,$0.55,$0.65,12%,,N,$16.52,3.63%,31.56%,21.07%
WW,Sell to Open,10/13/2023,43,$12.00,$0.35,$0.30,$0.40,1%,11/02/2023,N,$9.71,3.6%,31.33%,23.58%
TGTX,Sell to Open,10/13/2023,43,$13.50,$0.37,$0.30,$0.45,6%,11/01/2023,N,$10.47,3.58%,31.13%,28.94%
SHOP,Sell to Open,10/13/2023,43,$71.00,$2.36,$2.22,$2.50,0%,11/02/2023,N,$66.49,3.55%,30.85%,6.78%
DUST,Sell to Open,10/13/2023,43,$14.00,$0.42,$0.35,$0.50,0%,,N,$12.58,3.38%,29.36%,11.29%
UPST,Sell to Open,10/13/2023,43,$43.00,$1.07,$1.01,$1.14,0%,11/07/2023,N,$32.17,3.34%,29.04%,33.66%
ZS,Sell to Open,10/13/2023,43,$175.00,$5.15,$5.00,$5.30,56%,09/05/2023,Y,$156.05,3.3%,28.68%,12.14%
VXX,Sell to Open,10/13/2023,43,$27.00,$0.71,$0.65,$0.77,4%,,N,$21.50,3.3%,28.7%,25.58%
LMND,Sell to Open,10/13/2023,43,$16.00,$0.45,$0.40,$0.50,22%,11/07/2023,N,$13.76,3.27%,28.42%,16.28%
AMC,Sell to Open,10/13/2023,43,$25.00,$0.41,$0.38,$0.44,26%,11/07/2023,N,$12.55,3.27%,28.39%,99.2%
COIN,Sell to Open,10/13/2023,43,$96.00,$2.57,$2.45,$2.70,3%,11/02/2023,N,$79.60,3.23%,28.11%,20.6%
SYM,Sell to Open,10/20/2023,50,$55.00,$1.32,$1.00,$1.65,0%,11/20/2023,N,$41.79,3.17%,23.62%,31.61%
AI,Sell to Open,10/13/2023,43,$42.00,$0.97,$0.92,$1.03,20%,09/06/2023,Y,$31.02,3.14%,27.32%,35.4%
RF,Sell to Open,10/20/2023,50,$19.00,$0.57,$0.50,$0.65,5%,10/20/2023,N,$18.34,3.14%,23.35%,3.6%
MARA,Sell to Open,10/13/2023,43,$18.00,$0.38,$0.37,$0.40,2%,11/08/2023,N,$12.57,3.06%,26.62%,43.2%
W,Sell to Open,10/13/2023,43,$81.00,$2.08,$2.00,$2.16,0%,11/02/2023,N,$69.11,3.01%,26.16%,17.2%
TECS,Sell to Open,10/20/2023,50,$16.00,$0.40,$0.35,$0.45,2%,,N,$13.33,3%,22.35%,20.03%
YPF,Sell to Open,10/13/2023,43,$16.00,$0.42,$0.35,$0.50,4%,11/09/2023,N,$14.44,2.94%,25.58%,10.8%
JNUG,Sell to Open,10/13/2023,43,$38.00,$0.95,$0.90,$1.00,0%,,N,$32.36,2.94%,25.51%,17.43%
LABD,Sell to Open,10/13/2023,43,$21.50,$0.47,$0.40,$0.55,8%,,N,$16.48,2.88%,25.05%,30.46%
IGM,Sell to Open,10/20/2023,50,$410.00,$11.70,$9.60,$13.80,5%,,N,$407.30,2.87%,21.4%,0.66%
NIO,Sell to Open,10/13/2023,43,$13.00,$0.29,$0.27,$0.32,5%,11/09/2023,N,$10.27,2.87%,24.96%,26.58%
SBLK,Sell to Open,10/13/2023,43,$18.00,$0.50,$0.45,$0.55,13%,11/15/2023,N,$17.59,2.84%,24.7%,2.33%
HCP,Sell to Open,10/20/2023,50,$35.00,$0.82,$0.80,$0.85,33%,08/31/2023,Y,$29.16,2.83%,21.07%,20.03%
