Symbol,Action,Expiry,Days To Expiry,Strike Price,Mid Price,Bid Price,Ask Price,Implied Volatility Rank,Earnings Date,Earnings Flag,Stock Price,Raw Return,Annualized Return,Distance To Strike
MARA,Sell to Open,04/26/2024,44,$32.00,$1.40,$1.31,$1.50,47%,05/09/2024,N,$19.70,7.13%,60.54%,62.44%
MSTR,Sell to Open,04/26/2024,44,"$3,150.00",$119.70,$111.95,$127.45,100%,04/29/2024,N,"$1,766.15",6.78%,57.53%,78.35%
CLSK,Sell to Open,04/26/2024,44,$35.00,$1.10,$0.95,$1.25,69%,05/08/2024,N,$17.11,6.43%,54.57%,104.56%
XLRE,Sell to Open,04/19/2024,37,$43.00,$2.42,$0.05,$4.80,7%,,N,$39.62,6.12%,62.06%,8.53%
GOOS,Sell to Open,04/26/2024,44,$14.00,$0.72,$0.50,$0.95,34%,05/16/2024,N,$13.18,5.5%,46.69%,6.22%
KBE,Sell to Open,04/19/2024,37,$48.00,$2.42,$0.05,$4.80,7%,,N,$45.30,5.35%,54.28%,5.96%
JNUG,Sell to Open,04/26/2024,44,$35.00,$1.54,$1.45,$1.65,31%,,N,$30.82,5.03%,42.69%,13.56%
FLEX,Sell to Open,04/19/2024,37,$32.00,$1.42,$0.35,$2.50,32%,05/15/2024,N,$28.75,4.96%,50.25%,11.3%
NAIL,Sell to Open,04/19/2024,37,$150.00,$6.44,$6.10,$6.80,18%,,N,$134.40,4.8%,48.66%,11.61%
ATI,Sell to Open,04/19/2024,37,$55.00,$2.22,$0.35,$4.10,33%,05/02/2024,N,$49.00,4.54%,46.04%,12.24%
CNM,Sell to Open,04/19/2024,37,$50.00,$2.17,$1.90,$2.45,15%,03/19/2024,Y,$49.61,4.38%,44.45%,0.79%
BEKE,Sell to Open,04/26/2024,44,$16.50,$0.61,$0.26,$0.96,50%,03/14/2024,Y,$14.38,4.24%,36.01%,14.74%
LSPD,Sell to Open,04/19/2024,37,$17.00,$0.55,$0.05,$1.05,8%,,N,$13.39,4.11%,41.65%,26.96%
NUGT,Sell to Open,04/26/2024,44,$37.00,$1.27,$1.20,$1.35,42%,,N,$31.96,3.99%,33.86%,15.77%
SOXL,Sell to Open,04/26/2024,44,$70.00,$1.76,$1.03,$2.50,35%,,N,$46.08,3.83%,32.51%,51.91%
CART,Sell to Open,04/26/2024,44,$44.00,$1.35,$0.50,$2.20,23%,04/24/2024,Y,$35.35,3.82%,32.42%,24.47%
SA,Sell to Open,04/19/2024,37,$20.00,$0.47,$0.05,$0.90,70%,03/28/2024,Y,$13.63,3.48%,35.33%,46.74%
FOXA,Sell to Open,04/26/2024,44,$30.00,$1.02,$0.95,$1.10,31%,05/07/2024,N,$29.78,3.44%,29.22%,0.74%
HYG,Sell to Open,04/26/2024,44,$78.00,$2.65,$0.30,$5.00,6%,,N,$77.49,3.42%,29.03%,0.66%
XRT,Sell to Open,04/26/2024,44,$82.00,$2.59,$0.38,$4.80,25%,,N,$75.92,3.41%,28.96%,8.01%
MOO,Sell to Open,04/19/2024,37,$77.00,$2.50,$0.20,$4.80,3%,,N,$73.37,3.41%,34.55%,4.95%
S,Sell to Open,04/26/2024,44,$40.00,$0.95,$0.35,$1.55,65%,03/13/2024,Y,$27.94,3.4%,28.86%,43.16%
STNE,Sell to Open,04/26/2024,44,$20.50,$0.57,$0.35,$0.80,45%,03/18/2024,Y,$17.28,3.33%,28.25%,18.63%
SNAP,Sell to Open,04/26/2024,44,$16.50,$0.39,$0.24,$0.54,6%,04/25/2024,Y,$11.90,3.28%,27.82%,38.66%
RUN,Sell to Open,04/26/2024,44,$14.00,$0.32,$0.25,$0.39,52%,05/01/2024,N,$9.97,3.21%,27.24%,40.42%
IONQ,Sell to Open,04/26/2024,44,$12.50,$0.30,$0.28,$0.33,15%,05/09/2024,N,$9.63,3.17%,26.88%,29.8%
