Symbol,Strategy,Type,Price,Sell Strike,Buy Strike,Expiry,Premium,Width,Prem/Width,IV Rank,Earnings Date
FAST,Bearish,Call,$54.90,$55.00,$57.50,11/17/2023,$1.10,$2.50,44%,40%,10/12/2023 (7) AM
NKE,Bearish,Call,$95.68,$97.50,$100.00,11/17/2023,$1.02,$2.50,40.8%,17%,12/20/2023 (76) PM
IEI,Bearish,Call,$112.43,$113.00,$114.00,11/17/2023,$0.40,$1.00,40%,30%,
PLTR,Bullish,Put,$15.61,$15.00,$14.00,11/17/2023,$0.39,$1.00,39%,26%,11/06/2023 (32) PM
URA,Bullish,Put,$25.17,$25.00,$23.00,11/17/2023,$0.77,$2.00,38.75%,82%,
HPQ,Bearish,Call,$25.96,$26.00,$28.00,11/17/2023,$0.77,$2.00,38.5%,36%,11/21/2023 (47) PM
PINS,Bullish,Put,$26.15,$26.00,$24.00,11/17/2023,$0.75,$2.00,37.75%,30%,10/26/2023 (21) PM
ROK,Bearish,Call,$288.16,$290.00,$310.00,11/17/2023,$7.55,$20.00,37.75%,42%,11/02/2023 (28) AM
ENTG,Bearish,Call,$94.34,$95.00,$105.00,11/17/2023,$3.73,$10.00,37.25%,41%,10/31/2023 (26) AM
FERG,Bullish,Put,$160.99,$160.00,$150.00,11/17/2023,$3.73,$10.00,37.25%,34%,
TER,Bearish,Call,$99.84,$100.00,$110.00,11/17/2023,$3.73,$10.00,37.25%,36%,10/24/2023 (19) PM
RIVN,Bullish,Put,$23.30,$22.50,$20.00,11/17/2023,$0.92,$2.50,37%,30%,11/07/2023 (33) PM
ANET,Bullish,Put,$186.24,$185.00,$170.00,11/17/2023,$5.50,$15.00,36.67%,61%,10/30/2023 (25) PM
VRT,Bullish,Put,$37.82,$37.50,$32.50,11/17/2023,$1.83,$5.00,36.5%,42%,10/25/2023 (20) AM
FIVE,Bearish,Call,$159.59,$160.00,$175.00,11/17/2023,$5.48,$15.00,36.5%,25%,11/29/2023 (55) PM
TECK,Bullish,Put,$39.28,$39.00,$36.00,11/17/2023,$1.09,$3.00,36.33%,41%,10/24/2023 (19) AM
XPEV,Bullish,Put,$17.84,$17.00,$15.00,11/17/2023,$0.72,$2.00,36.25%,13%,11/30/2023 (56) AM
BILL,Bullish,Put,$103.84,$100.00,$90.00,11/17/2023,$3.55,$10.00,35.5%,55%,11/02/2023 (28) PM
WSM,Bullish,Put,$151.03,$150.00,$140.00,11/17/2023,$3.50,$10.00,35%,18%,11/16/2023 (42) AM
PFE,Bearish,Call,$33.18,$34.00,$35.00,11/17/2023,$0.35,$1.00,35%,68%,10/31/2023 (26) AM
OLLI,Bullish,Put,$75.20,$75.00,$70.00,11/17/2023,$1.72,$5.00,34.5%,13%,12/06/2023 (62) AM
CF,Bullish,Put,$81.36,$80.00,$75.00,11/17/2023,$1.72,$5.00,34.5%,34%,11/01/2023 (27) PM
CDAY,Bearish,Call,$68.44,$70.00,$75.00,11/17/2023,$1.72,$5.00,34.5%,29%,11/01/2023 (27) PM
FFIV,Bullish,Put,$155.02,$155.00,$145.00,11/17/2023,$3.40,$10.00,34%,33%,10/24/2023 (19) PM
RMBS,Bullish,Put,$56.83,$55.00,$52.50,11/17/2023,$0.85,$2.50,34%,82%,10/30/2023 (25) PM
YUMC,Bullish,Put,$53.36,$52.50,$50.00,11/17/2023,$0.85,$2.50,34%,24%,10/31/2023 (26) PM
STNG,Bullish,Put,$48.34,$47.50,$42.50,11/17/2023,$1.68,$5.00,33.5%,29%,10/31/2023 (26) AM
NXPI,Bullish,Put,$197.30,$195.00,$185.00,11/17/2023,$3.35,$10.00,33.5%,29%,11/06/2023 (32) PM
SFM,Bullish,Put,$42.62,$42.00,$39.00,11/17/2023,$1.00,$3.00,33.33%,47%,10/31/2023 (26) PM
SPOT,Bullish,Put,$157.90,$155.00,$140.00,11/17/2023,$5.00,$15.00,33.33%,49%,10/24/2023 (19) AM
WING,Bullish,Put,$183.98,$180.00,$165.00,11/17/2023,$5.00,$15.00,33.33%,29%,11/01/2023 (27) AM
AMGN,Bullish,Put,$265.30,$265.00,$250.00,11/17/2023,$4.97,$15.00,33.17%,70%,11/02/2023 (28) PM
