symbol,description,last,net change,condition
ACI,ALBERTSONS COMPANIES INC COM,23.63,0.57,overbought
BASE,COUCHBASE INC COM,20.24,0.52,overbought
CLMT,CALUMET SPECIALTY PRODUCTS COM STK NPV,19.7,0.73,overbought
DELL,DELL TECHNOLOGIES INC COM CL C,70.5,1.52,overbought
GCT,GIGACLOUD TECHNOLOGY INC COM CL A,16.4,1.63,overbought
GWRE,GUIDEWIRE SOFTWARE INC COM,94.15,9.31,overbought
HZNP,HORIZON THERAPEUTICS PLC COM,115.42,0.01,overbought
MORN,MORNINGSTAR INC COM,252.85,1.37,overbought
MPC,MARATHON PETROLEUM CORP COM,155.31,4.42,overbought
NTNX,NUTANIX INC COM CL A,36.16,0.1,overbought
NXGN,NEXTGEN HEALTHCARE INC COM,23.68,0.07,overbought
PSX,PHILLIPS 66 COM,122.23,3.48,overbought
RBA,RB GLOBAL INC COM,66.28,0.77,overbought
RDUS,SCHNITZER STEEL COM CL A,28.44,-1.28,overbought
RETA,REATA PHARMACEUTICALS INC COM CL A,170.32,0.17,overbought
SCPL,SCIPLAY CORPORATION COM CL A,22.72,0,overbought
SPLK,SPLUNK INC COM,124.28,-0.52,overbought
VST,VISTRA CORP COM,34.06,0.69,overbought
WFRD,WEATHERFORD INTL PLC COM,94.27,0.88,overbought
YY,JOYY INC ADR,37.8,1.48,overbought
AEIS,ADVANCED ENERGY INDUSTRIES COM,104.11,-1.63,oversold
GBX,GREENBRIER COMPANIES INC COM,39.03,0.51,oversold
HELE,HELEN OF TROY CORP COM,115.21,0.2,oversold
ITRI,ITRON INC COM,64.02,-0.31,oversold
MSM,MSC INDUSTRIAL DIRECT CO COM CL A,95.93,0.08,oversold
PAM,PAMPA ENERGIA S.A. ADR,38.84,-1.99,oversold
SHAK,SHAKE SHACK INC COM CL A,65.2,-1.3,oversold
TGH,TEXTAINER GROUP HLDGS LTD COM,38.03,-0.01,oversold
URBN,URBAN OUTFITTERS INC COM,31.85,-0.65,oversold
WDFC,WD-40 CO COM,203.14,-2.67,oversold
